Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Cebpb	Plxnc1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Rab11fip1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Rab30	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Rasa2	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Rgs9	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Rpusd2	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Rundc3b	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Ryr1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Serpinb2	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Sestd1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Setbp1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Sipa1l2	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Slc16a3	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Slc7a1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Slc7a11	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Sorbs1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Spata13	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Spry2	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Srgn	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Sult2b1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Tes	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Tex14	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Tex2	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Tnip3	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Uck2	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Xcr1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
Cebpb	Zeb1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19, C/EBP_TFClassSubFam	Cebpb
